Wed Aug  6 23:01:12 2025    output.prof

         20307161 function calls (20296670 primitive calls) in 75.552 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.285    0.019    0.285    0.019 {method 'foreach_get' of 'bpy_prop_collection' objects}
  3004506    0.278    0.000    0.278    0.000 {method 'append' of 'list' objects}
       15    0.269    0.018    0.269    0.018 {method 'argsort' of 'numpy.ndarray' objects}
   331/29    0.001    0.000    0.216    0.007 <frozen importlib._bootstrap_external>:877(exec_module)
       45    0.000    0.000    0.215    0.005 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:2338(sum)
       45    0.000    0.000    0.215    0.005 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
       45    0.214    0.005    0.214    0.005 {method 'reduce' of 'numpy.ufunc' objects}
   494/30    0.001    0.000    0.146    0.005 {built-in method builtins.__import__}
   245/54    0.001    0.000    0.142    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.115    0.115 generate_data.py:541(get_selected_objects)
        5    0.005    0.001    0.115    0.023 generate_data.py:113(rescale_object)
        1    0.000    0.000    0.104    0.104 generate_data.py:689(render_setup)
        1    0.000    0.000    0.104    0.104 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/cycles/properties.py:1569(get_devices)
        1    0.000    0.000    0.104    0.104 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/cycles/properties.py:1561(refresh_devices)
        5    0.104    0.021    0.104    0.021 {built-in method _cycles.available_devices}
       50    0.001    0.000    0.100    0.002 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/cycles/__init__.py:59(update)
       50    0.002    0.000    0.099    0.002 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/cycles/engine.py:121(reset)
       50    0.096    0.002    0.096    0.002 {built-in method _cycles.reset}
        1    0.000    0.000    0.088    0.088 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/modules/bpy/__init__.py:1(<module>)
        1    0.000    0.000    0.087    0.087 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/modules/bpy/__init__.py:39(main)
        1    0.000    0.000    0.087    0.087 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/modules/bpy/utils/__init__.py:192(load_scripts)
        1    0.000    0.000    0.073    0.073 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/__init__.py:1(<module>)
        1    0.000    0.000    0.059    0.059 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/modules/bpy/utils/__init__.py:166(modules_from_path)
        4    0.000    0.000    0.059    0.015 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/modules/bpy/utils/__init__.py:116(_test_import)
       15    0.000    0.000    0.057    0.004 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:2879(cumsum)
       15    0.000    0.000    0.057    0.004 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
       15    0.057    0.004    0.057    0.004 {method 'cumsum' of 'numpy.ndarray' objects}
       15    0.000    0.000    0.052    0.003 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/io/imp/gltf2_io_gltf.py:145(read)
      331    0.002    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.047    0.047 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/startup/bl_ui/__init__.py:1(<module>)
2712/2707    0.027    0.000    0.045    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.043    0.043 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/lib/__init__.py:1(<module>)
      346    0.041    0.000    0.041    0.000 {method 'read' of '_io.BufferedReader' objects}
     2059    0.020    0.000    0.036    0.000 {register_class}
      331    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       15    0.002    0.000    0.032    0.002 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_material.py:19(create)
      331    0.032    0.000    0.032    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.032    0.032 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/modules/bpy/utils/__init__.py:339(load_scripts_extensions)
        1    0.000    0.000    0.032    0.032 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/modules/addon_utils.py:26(_initialize_once)
        9    0.000    0.000    0.031    0.003 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/modules/addon_utils.py:288(enable)
       15    0.001    0.000    0.030    0.002 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_KHR_materials_pbrSpecularGlossiness.py:11(pbr_specular_glossiness)
       15    0.000    0.000    0.027    0.002 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_pbrMetallicRoughness.py:327(base_color)
        4    0.000    0.000    0.027    0.007 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/modules/bpy/utils/__init__.py:261(test_register)
        4    0.000    0.000    0.027    0.007 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/modules/bpy/utils/__init__.py:225(register_module_call)
       15    0.001    0.000    0.027    0.002 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_texture.py:12(texture)
        1    0.000    0.000    0.027    0.027 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/lib/_index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.026    0.026 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/__config__.py:1(<module>)
        1    0.000    0.000    0.026    0.026 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_core/__init__.py:1(<module>)
       15    0.000    0.000    0.026    0.002 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_image.py:20(create)
       15    0.014    0.001    0.025    0.002 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_image.py:80(create_from_data)
        1    0.000    0.000    0.025    0.025 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/matrixlib/__init__.py:1(<module>)
        1    0.000    0.000    0.024    0.024 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/matrixlib/defmatrix.py:1(<module>)
        1    0.000    0.000    0.024    0.024 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/linalg/__init__.py:1(<module>)
        1    0.000    0.000    0.024    0.024 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/linalg/_linalg.py:1(<module>)
      369    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      181    0.000    0.000    0.020    0.000 /usr/lib/python3.10/re.py:288(_compile)
       72    0.000    0.000    0.020    0.000 /usr/lib/python3.10/re.py:249(compile)
      355    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
